Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Number of Premises Baited,Number of Premises with Garbage,Number of Premises with Rats,Current Activity,Most Recent Action,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location
05/01/2015,Completed,05/01/2015,15-01723371,Rodent Baiting/Rat Complaint,7,3,4,Dispatch Crew,Inspected and baited,3356 S HALSTED ST,60608,1171522.90577543,1882414.07283097,11,9,60,41.832806826993185,-87.64615342848761,"(41.832806826993, -87.646153428488)"
05/01/2015,Completed,05/05/2015,15-01726444,Rodent Baiting/Rat Complaint,1,3,2,Dispatch Crew,Inspected and baited,3853 N AVERS AVE,60618,1150036.79011908,1925396.09507824,39,17,16,41.95119860050284,-87.72386987263927,"(41.951198600503, -87.723869872639)"
05/01/2015,Completed,05/06/2015,15-01727135,Rodent Baiting/Rat Complaint,11,3,13,Dispatch Crew,Inspected and baited,6300 N WHIPPLE ST,60659,1154875.28083031,1941641.13340111,50,24,2,41.995680104607324,-87.70564614489538,"(41.995680104607, -87.705646144895)"
05/01/2015,Completed,05/06/2015,15-01726800,Rodent Baiting/Rat Complaint,1,1,0,Dispatch Crew,Inspected and baited,2920 W COYLE AVE,60645,1155659.0100966,1945953.48572362,50,24,2,42.00749757588912,-87.70264632370393,"(42.007497575889, -87.702646323704)"
05/01/2015,Completed,05/04/2015,15-01722397,Rodent Baiting/Rat Complaint,9,4,12,Dispatch Crew,Inspected and baited,3332 W 62ND PL,60629,1155252.77197641,1862989.5920289,15,8,66,41.77984504695916,-87.70637141862075,"(41.779845046959, -87.706371418621)"
05/01/2015,Completed,05/05/2015,15-01724771,Rodent Baiting/Rat Complaint,2,0,2,Dispatch Crew,Inspected and baited,2654 W WINNEMAC AVE,60625,1157752.18559916,1933438.85548106,40,20,4,41.97311432817824,-87.69528813816316,"(41.973114328178, -87.695288138163)"
05/01/2015,Completed,05/05/2015,15-01723721,Rodent Baiting/Rat Complaint,1,4,2,Dispatch Crew,Inspected and baited,4340 W VAN BUREN ST,60624,1147522.58940614,1897669.29288715,24,11,26,41.87516219259799,-87.73382448543904,"(41.875162192598, -87.733824485439)"
05/01/2015,Completed,05/05/2015,15-01719481,Rodent Baiting/Rat Complaint,2,5,3,Dispatch Crew,Inspected and baited,8301 S MAY ST,60620,1170099.05461678,1849753.71487464,21,6,71,41.7432141707764,-87.65232695103921,"(41.743214170776, -87.652326951039)"
05/01/2015,Completed,05/06/2015,15-01727531,Rodent Baiting/Rat Complaint,1,7,2,Dispatch Crew,Inspected and baited,3021 W DEVON AVE,60659,1154953.94773405,1942290.41579641,50,24,2,41.99746018189998,-87.7053392498453,"(41.9974601819, -87.705339249845)"
05/01/2015,Completed,05/07/2015,15-01725138,Rodent Baiting/Rat Complaint,7,5,0,Dispatch Crew,Inspected and baited,939 W 34TH ST,60608,1170599.83302229,1882390.25909312,11,9,60,41.83276169290039,-87.64954101739427,"(41.8327616929, -87.649541017394)"
05/01/2015,Completed,05/05/2015,15-01721668,Rodent Baiting/Rat Complaint,1,5,2,Dispatch Crew,Inspected and baited,6208 N DRAKE AVE,60659,1151590.34979521,1940970.22818252,50,17,13,41.993904543738346,-87.71774763472447,"(41.993904543738, -87.717747634724)"
05/01/2015,Completed,05/07/2015,15-01727730,Rodent Baiting/Rat Complaint,0,3,0,Dispatch Crew,"Area inspected, no cause and no baiting",3601 W GLENLAKE AVE,60659,1151267.5358886,1940267.45671571,50,17,13,41.99198246277573,-87.71895363278905,"(41.991982462776, -87.718953632789)"
